account_id,county,gross_acres,exclusion_reason
1105171393,Frederick,86.69,largest_reachable_block_below_acreage_min_even_with_crossings
1105172667,Frederick,107.1,owner_type_government
1104153138,Frederick,65.1,largest_reachable_block_below_acreage_min_even_with_crossings
1104153693,Frederick,86.4,largest_reachable_block_below_acreage_min_even_with_crossings
1104154126,Frederick,62.81,largest_reachable_block_below_acreage_min_even_with_crossings
1104154746,Frederick,66.2,largest_reachable_block_below_acreage_min_even_with_crossings
1104154878,Frederick,69.7,largest_reachable_block_below_acreage_min_even_with_crossings
1104154924,Frederick,82.97,largest_reachable_block_below_acreage_min_even_with_crossings
1104155300,Frederick,84.96,largest_reachable_block_below_acreage_min_even_with_crossings
1104155580,Frederick,58.28,largest_reachable_block_below_acreage_min_even_with_crossings
1104155653,Frederick,55.48,largest_reachable_block_below_acreage_min_even_with_crossings
1104157451,Frederick,50.05,largest_reachable_block_below_acreage_min_even_with_crossings
1104157982,Frederick,50.62,largest_reachable_block_below_acreage_min_even_with_crossings
1104157990,Frederick,44.91,largest_reachable_block_below_acreage_min_even_with_crossings
1104158008,Frederick,40.92,largest_reachable_block_below_acreage_min_even_with_crossings
1105157218,Frederick,184.05,largest_reachable_block_below_acreage_min_even_with_crossings
1105157226,Frederick,40.46,largest_reachable_block_below_acreage_min_even_with_crossings
1105158087,Frederick,44.91,largest_reachable_block_below_acreage_min_even_with_crossings
1105158303,Frederick,76.81,largest_reachable_block_below_acreage_min_even_with_crossings
1105174104,Frederick,114.09,largest_reachable_block_below_acreage_min_even_with_crossings
1105174449,Frederick,43.97,largest_reachable_block_below_acreage_min_even_with_crossings
1105174554,Frederick,59.08,largest_reachable_block_below_acreage_min_even_with_crossings
1105174597,Frederick,93.4,largest_reachable_block_below_acreage_min_even_with_crossings
1105175488,Frederick,86.62,largest_reachable_block_below_acreage_min_even_with_crossings
1105175704,Frederick,153.37,largest_reachable_block_below_acreage_min_even_with_crossings
1105175720,Frederick,256.54,largest_reachable_block_below_acreage_min_even_with_crossings
1105177596,Frederick,64.59,largest_reachable_block_below_acreage_min_even_with_crossings
1105177693,Frederick,72.38,largest_reachable_block_below_acreage_min_even_with_crossings
1105159954,Frederick,47.33,largest_reachable_block_below_acreage_min_even_with_crossings
1105160367,Frederick,80.45,largest_reachable_block_below_acreage_min_even_with_crossings
1105161304,Frederick,56.27,largest_reachable_block_below_acreage_min_even_with_crossings
1105181119,Frederick,44.14,largest_reachable_block_below_acreage_min_even_with_crossings
1105181658,Frederick,45.86,largest_reachable_block_below_acreage_min_even_with_crossings
1106177964,Frederick,62.41,largest_reachable_block_below_acreage_min_even_with_crossings
1105163331,Frederick,47.05,largest_reachable_block_below_acreage_min_even_with_crossings
1105163412,Frederick,45.67,largest_reachable_block_below_acreage_min_even_with_crossings
1105164672,Frederick,49.49,largest_reachable_block_below_acreage_min_even_with_crossings
1105165083,Frederick,109.4,owner_type_government
1105166411,Frederick,225.79,largest_reachable_block_below_acreage_min_even_with_crossings
1105167957,Frederick,44.92,largest_reachable_block_below_acreage_min_even_with_crossings
1105167973,Frederick,106.9,largest_reachable_block_below_acreage_min_even_with_crossings
1105168376,Frederick,40.52,largest_reachable_block_below_acreage_min_even_with_crossings
1105168503,Frederick,42.81,largest_reachable_block_below_acreage_min_even_with_crossings
1105168600,Frederick,48.9,largest_reachable_block_below_acreage_min_even_with_crossings
1106178359,Frederick,50.15,largest_reachable_block_below_acreage_min_even_with_crossings
1106178553,Frederick,40.3,largest_reachable_block_below_acreage_min_even_with_crossings
1106178936,Frederick,44.83,largest_reachable_block_below_acreage_min_even_with_crossings
1106179045,Frederick,45.49,largest_reachable_block_below_acreage_min_even_with_crossings
1106179223,Frederick,61.62,largest_reachable_block_below_acreage_min_even_with_crossings
1106179428,Frederick,136.56,largest_reachable_block_below_acreage_min_even_with_crossings
1106179509,Frederick,47.56,largest_reachable_block_below_acreage_min_even_with_crossings
1106179681,Frederick,73.58,largest_reachable_block_below_acreage_min_even_with_crossings
1106180175,Frederick,47.33,largest_reachable_block_below_acreage_min_even_with_crossings
1106180566,Frederick,173.02,largest_reachable_block_below_acreage_min_even_with_crossings
1106180701,Frederick,56.5,largest_reachable_block_below_acreage_min_even_with_crossings
1106181775,Frederick,42.49,largest_reachable_block_below_acreage_min_even_with_crossings
1106181945,Frederick,70.68,largest_reachable_block_below_acreage_min_even_with_crossings
1106182917,Frederick,86.85,largest_reachable_block_below_acreage_min_even_with_crossings
1106183174,Frederick,95.56,largest_reachable_block_below_acreage_min_even_with_crossings
1106183751,Frederick,81.95,largest_reachable_block_below_acreage_min_even_with_crossings
1106184383,Frederick,61.44,largest_reachable_block_below_acreage_min_even_with_crossings
1106184588,Frederick,113.67,largest_reachable_block_below_acreage_min_even_with_crossings
1106184596,Frederick,51.7,largest_reachable_block_below_acreage_min_even_with_crossings
1106185088,Frederick,80.2,largest_reachable_block_below_acreage_min_even_with_crossings
1105169771,Frederick,58.21,largest_reachable_block_below_acreage_min_even_with_crossings
1105171067,Frederick,62.65,largest_reachable_block_below_acreage_min_even_with_crossings
1105173213,Frederick,45.24,largest_reachable_block_below_acreage_min_even_with_crossings
1105173388,Frederick,56.68,largest_reachable_block_below_acreage_min_even_with_crossings
1105173396,Frederick,120.72,largest_reachable_block_below_acreage_min_even_with_crossings
1105173493,Frederick,142.63,largest_reachable_block_below_acreage_min_even_with_crossings
1105174406,Frederick,40.37,largest_reachable_block_below_acreage_min_even_with_crossings
1105174414,Frederick,122.69,largest_reachable_block_below_acreage_min_even_with_crossings
1105174643,Frederick,65.49,largest_reachable_block_below_acreage_min_even_with_crossings
1105174724,Frederick,44.28,largest_reachable_block_below_acreage_min_even_with_crossings
1105174791,Frederick,78.97,largest_reachable_block_below_acreage_min_even_with_crossings
1105175763,Frederick,50.08,largest_reachable_block_below_acreage_min_even_with_crossings
1106185460,Frederick,40.73,largest_reachable_block_below_acreage_min_even_with_crossings
1106186521,Frederick,47.71,largest_reachable_block_below_acreage_min_even_with_crossings
1106186750,Frederick,71.64,largest_reachable_block_below_acreage_min_even_with_crossings
1106187099,Frederick,45.83,largest_reachable_block_below_acreage_min_even_with_crossings
1106187137,Frederick,60.9,largest_reachable_block_below_acreage_min_even_with_crossings
1106188346,Frederick,53.44,largest_reachable_block_below_acreage_min_even_with_crossings
1106189342,Frederick,68.97,largest_reachable_block_below_acreage_min_even_with_crossings
1106189539,Frederick,48.28,largest_reachable_block_below_acreage_min_even_with_crossings
1106190669,Frederick,40.74,largest_reachable_block_below_acreage_min_even_with_crossings
1107188536,Frederick,171.98,mprp_tier_1_intersects_studied_route
1107188595,Frederick,40.38,largest_reachable_block_below_acreage_min_even_with_crossings
1107189370,Frederick,131.29,mprp_tier_1_intersects_studied_route
1107189397,Frederick,77.54,largest_reachable_block_below_acreage_min_even_with_crossings
1107189400,Frederick,51.61,mprp_tier_1_intersects_studied_route
1105176891,Frederick,135.82,largest_reachable_block_below_acreage_min_even_with_crossings
1105177634,Frederick,41.61,largest_reachable_block_below_acreage_min_even_with_crossings
1105181356,Frederick,48.21,largest_reachable_block_below_acreage_min_even_with_crossings
1106177468,Frederick,40.65,largest_reachable_block_below_acreage_min_even_with_crossings
1106177719,Frederick,61.15,largest_reachable_block_below_acreage_min_even_with_crossings
1106178863,Frederick,46.72,largest_reachable_block_below_acreage_min_even_with_crossings
1106178901,Frederick,43.93,largest_reachable_block_below_acreage_min_even_with_crossings
1106179231,Frederick,50.44,largest_reachable_block_below_acreage_min_even_with_crossings
1106179754,Frederick,46.84,largest_reachable_block_below_acreage_min_even_with_crossings
1106181783,Frederick,56.64,largest_reachable_block_below_acreage_min_even_with_crossings
1106181813,Frederick,43.97,largest_reachable_block_below_acreage_min_even_with_crossings
1107191618,Frederick,96.24,largest_reachable_block_below_acreage_min_even_with_crossings
1107192371,Frederick,45.53,largest_reachable_block_below_acreage_min_even_with_crossings
1107192681,Frederick,49.56,largest_reachable_block_below_acreage_min_even_with_crossings
1107193610,Frederick,47.24,largest_reachable_block_below_acreage_min_even_with_crossings
1107193823,Frederick,84.92,largest_reachable_block_below_acreage_min_even_with_crossings
1107194099,Frederick,292.82,mprp_tier_1_intersects_studied_route
1107194374,Frederick,46.74,largest_reachable_block_below_acreage_min_even_with_crossings
1107195427,Frederick,69.76,largest_reachable_block_below_acreage_min_even_with_crossings
1107195605,Frederick,49.63,largest_reachable_block_below_acreage_min_even_with_crossings
1107196164,Frederick,106.04,largest_reachable_block_below_acreage_min_even_with_crossings
1107197063,Frederick,275.51,mprp_tier_1_intersects_studied_route
1107198299,Frederick,128.92,largest_reachable_block_below_acreage_min_even_with_crossings
1107199805,Frederick,115.07,largest_reachable_block_below_acreage_min_even_with_crossings
1106182003,Frederick,51.73,largest_reachable_block_below_acreage_min_even_with_crossings
1106182267,Frederick,92.18,largest_reachable_block_below_acreage_min_even_with_crossings
1106182550,Frederick,46.39,largest_reachable_block_below_acreage_min_even_with_crossings
1106183050,Frederick,49.81,largest_reachable_block_below_acreage_min_even_with_crossings
1106183220,Frederick,42.99,largest_reachable_block_below_acreage_min_even_with_crossings
1106184456,Frederick,169.14,largest_reachable_block_below_acreage_min_even_with_crossings
1106184774,Frederick,63.89,largest_reachable_block_below_acreage_min_even_with_crossings
1106184847,Frederick,45.76,largest_reachable_block_below_acreage_min_even_with_crossings
1106185150,Frederick,44.11,largest_reachable_block_below_acreage_min_even_with_crossings
1106185738,Frederick,64.71,largest_reachable_block_below_acreage_min_even_with_crossings
1106186017,Frederick,162.69,largest_reachable_block_below_acreage_min_even_with_crossings
1106186114,Frederick,49.15,largest_reachable_block_below_acreage_min_even_with_crossings
1106186203,Frederick,41.65,largest_reachable_block_below_acreage_min_even_with_crossings
1106186297,Frederick,47.47,largest_reachable_block_below_acreage_min_even_with_crossings
1106186505,Frederick,94.82,largest_reachable_block_below_acreage_min_even_with_crossings
1106186572,Frederick,84.4,largest_reachable_block_below_acreage_min_even_with_crossings
1106186580,Frederick,56.15,largest_reachable_block_below_acreage_min_even_with_crossings
1106186610,Frederick,48.33,largest_reachable_block_below_acreage_min_even_with_crossings
1106186769,Frederick,112.99,largest_reachable_block_below_acreage_min_even_with_crossings
1106187080,Frederick,52.52,owner_type_government
1107201540,Frederick,171.46,mprp_tier_1_intersects_studied_route
1107201958,Frederick,59.15,largest_reachable_block_below_acreage_min_even_with_crossings
